0,ID,Lat,Lon,,,,,,,,,,,,,
324,US-StJ,39.0882,-75.4372,,,,,,,,,,,,,
325,US-Syv,46.2420,-89.3477,,,,,,,,,,,,,
326,US-Ton,38.4309,-120.9660,,,,,,,,,,,,,
327,US-Tw1,38.1074,-121.6469,,,,,,,,,,,,,
328,US-Tw2,38.0969,-121.6365,,,,,,,,,,,,,
329,US-Tw3,38.1152,-121.6469,,,,,,,,,,,,,
330,US-Tw4,38.1027,-121.6413,,,,,,,,,,,,,
331,US-Tw5,38.1072,-121.6426,,,,,,,,,,,,,
332,US-Twt,38.1087,-121.6531,,,,,,,,,,,,,
333,US-UM3,45.5686,-84.6707,,,,,,,,,,,,,
334,US-UMB,45.5598,-84.7138,,,,,,,,,,,,,
335,US-UMd,45.5625,-84.6975,,,,,,,,,,,,,
336,US-Var,38.4133,-120.9508,,,,,,,,,,,,,
337,US-Vcm,35.8884,-106.5321,,,,,,,,,,,,,
338,US-Vcp,35.8642,-106.5967,,,,,,,,,,,,,
339,US-WCr,45.8059,-90.0799,,,,,,,,,,,,,
340,US-Whs,31.7438,-110.0522,,,,,,,,,,,,,
341,US-Wi0,46.6188,-91.0814,,,,,,,,,,,,,
342,US-Wi1,46.7305,-91.2329,,,,,,,,,,,,,
343,US-Wi2,46.6869,-91.1528,,,,,,,,,,,,,
344,US-Wi3,46.6347,-91.0987,,,,,,,,,,,,,
345,US-Wi4,46.7393,-91.1663,,,,,,,,,,,,,
346,US-Wi5,46.6531,-91.0858,,,,,,,,,,,,,
347,US-Wi6,46.6249,-91.2982,,,,,,,,,,,,,
348,US-Wi7,46.6491,-91.0693,,,,,,,,,,,,,
349,US-Wi8,46.7223,-91.2524,,,,,,,,,,,,,
350,US-Wi9,46.7385,-91.0746,,,,,,,,,,,,,
351,US-Wjs,34.4255,-105.8615,,,,,,,,,,,,,
352,US-Wkg,31.7365,-109.9419,,,,,,,,,,,,,
353,US-WPT,41.4646,-82.9962,,,,,,,,,,,,,
354,US-xAB,45.7624,-122.3303,,,,,,,,,,,,,
355,US-xAE,35.4106,-99.0588,,,,,,,,,,,,,
356,US-xBA,71.2824,-156.6194,,,,,,,,,,,,,
357,US-xBL,39.0603,-78.0716,,,,,,,,,,,,,
358,US-xBN,65.1540,-147.5026,,,,,,,,,,,,,
359,US-xBR,44.0639,-71.2873,,,,,,,,,,,,,
360,US-xCL,33.4012,-97.5700,,,,,,,,,,,,,
361,US-xCP,40.8155,-104.7456,,,,,,,,,,,,,
362,US-xDC,47.1617,-99.1066,,,,,,,,,,,,,
363,US-xDJ,63.8811,-145.7514,,,,,,,,,,,,,
364,US-xDL,32.5417,-87.8039,,,,,,,,,,,,,
365,US-xDS,28.1250,-81.4362,,,,,,,,,,,,,
366,US-xGR,35.6890,-83.5019,,,,,,,,,,,,,
367,US-xHA,42.5369,-72.1727,,,,,,,,,,,,,
368,US-xHE,63.8757,-149.2133,,,,,,,,,,,,,
369,US-xJE,31.1948,-84.4686,,,,,,,,,,,,,
370,US-xJR,32.5907,-106.8425,,,,,,,,,,,,,
371,US-xKA,39.1104,-96.6129,,,,,,,,,,,,,
372,US-xKZ,39.1008,-96.5631,,,,,,,,,,,,,
373,US-xMB,38.2483,-109.3883,,,,,,,,,,,,,
374,US-xML,37.3783,-80.5248,,,,,,,,,,,,,
375,US-xNG,46.7697,-100.9154,,,,,,,,,,,,,
376,US-xNQ,40.1776,-112.4524,,,,,,,,,,,,,
377,US-xRM,40.2759,-105.5459,,,,,,,,,,,,,
378,US-xSB,29.6893,-81.9934,,,,,,,,,,,,,
379,US-xSC,38.8929,-78.1395,,,,,,,,,,,,,
380,US-xSE,38.8901,-76.5600,,,,,,,,,,,,,
381,US-xSJ,37.1088,-119.7323,,,,,,,,,,,,,
382,US-xSL,40.4619,-103.0293,,,,,,,,,,,,,
383,US-xSR,31.9107,-110.8355,,,,,,,,,,,,,
384,US-xST,45.5089,-89.5864,,,,,,,,,,,,,
385,US-xTA,32.9505,-87.3933,,,,,,,,,,,,,
386,US-xTR,45.4937,-89.5857,,,,,,,,,,,,,
387,US-xUK,39.0404,-95.1921,,,,,,,,,,,,,
388,US-xUN,46.2339,-89.5373,,,,,,,,,,,,,
389,US-xWD,47.1282,-99.2414,,,,,,,,,,,,,
390,US-xYE,44.9535,-110.5391,,,,,,,,,,,,,
391,ZA-Kru,-25.0197,31.4969,,,,,,,,,,,,,
392,ZM-Mon,-15.4391,23.2525,,,,,,,,,,,,,
